Date,Short_Ratio,Short_Count,Short_Amount
2020-02-10,27.07%,"970,000","43,076,850"
2020-02-07,11.73%,"416,500","18,558,375"
2020-02-06,27.14%,"1,458,500","64,800,575"
2020-02-05,40.44%,"2,132,000","92,565,600"
2020-02-04,32.21%,"1,649,500","72,148,075"
2020-02-03,26.20%,"1,016,000","44,127,925"
2020-01-31,18.17%,"699,000","30,878,375"
2020-01-30,16.55%,"743,000","32,989,850"
2020-01-29,9.57%,"448,500","20,189,350"
2020-01-24,6.10%,"88,500","4,079,250"
2020-01-23,19.69%,"845,500","39,055,600"
2020-01-22,21.59%,"846,500","39,729,950"
2020-01-21,11.22%,"613,500","28,563,875"
2020-01-20,17.30%,"434,500","20,624,150"
2020-01-17,16.47%,"711,000","33,878,800"
2020-01-16,21.13%,"624,000","29,306,725"
2020-01-15,28.41%,"912,000","42,887,350"
2020-01-14,30.57%,"1,293,500","61,219,575"
2020-01-13,12.27%,"937,000","44,098,450"
2020-01-10,5.08%,"213,500","9,887,800"
2020-01-09,5.67%,"196,000","9,009,075"
2020-01-08,7.14%,"248,000","11,205,050"
2020-01-07,6.54%,"195,000","8,845,100"
2020-01-06,21.35%,"589,500","26,760,925"
2020-01-03,23.87%,"806,500","37,032,525"
2020-01-02,42.41%,"1,528,500","70,007,400"
2019-12-31,18.03%,"331,000","15,250,950"
2019-12-30,9.41%,"166,000","7,692,375"
2019-12-27,13.14%,"210,000","9,722,300"
2019-12-24,14.93%,"141,500","6,509,375"
2019-12-23,14.60%,"312,000","14,371,400"
2019-12-20,8.16%,"479,500","22,140,850"
2019-12-19,15.03%,"507,000","23,465,875"
2019-12-18,16.63%,"654,000","30,305,425"
2019-12-17,17.24%,"558,000","25,679,800"
2019-12-16,11.93%,"556,500","25,698,350"
2019-12-13,28.07%,"2,345,500","109,591,525"
2019-12-12,23.09%,"1,903,500","88,109,650"
2019-12-11,18.89%,"2,185,000","99,088,000"
2019-12-10,9.27%,"433,000","19,045,325"
2019-12-09,20.79%,"497,000","22,001,075"
2019-12-06,13.09%,"480,500","21,205,400"
2019-12-05,20.37%,"1,018,500","44,224,075"
2019-12-04,12.51%,"303,500","13,112,075"
2019-12-03,11.50%,"546,000","23,644,450"
2019-12-02,29.42%,"793,500","34,872,525"
2019-11-29,16.25%,"945,500","41,708,500"
2019-11-28,17.25%,"748,000","33,582,100"
2019-11-27,8.83%,"1,165,500","52,186,350"
2019-11-26,8.23%,"998,000","43,372,575"
2019-11-25,10.01%,"763,500","33,426,750"
2019-11-22,23.26%,"1,620,500","69,443,325"
2019-11-21,32.90%,"1,194,500","51,596,500"
2019-11-20,25.09%,"570,500","24,883,350"
2019-11-19,15.31%,"532,000","23,274,525"
2019-11-18,17.15%,"511,000","22,049,550"
2019-11-15,20.81%,"648,500","27,859,200"
2019-11-14,28.49%,"1,231,500","52,739,525"
2019-11-13,28.06%,"2,102,000","90,460,325"
2019-11-12,14.23%,"521,000","22,953,750"
2019-11-11,14.43%,"945,500","41,551,625"
2019-11-08,8.76%,"482,000","21,706,325"
2019-11-07,11.43%,"574,500","26,243,125"
2019-11-06,38.02%,"1,618,500","74,141,750"
2019-11-05,33.10%,"1,501,000","69,072,100"
2019-11-04,23.36%,"1,151,000","52,696,400"
2019-11-01,29.32%,"1,248,000","56,657,075"
2019-10-31,26.47%,"997,000","44,891,325"
2019-10-30,22.09%,"696,000","31,332,525"
2019-10-29,17.34%,"790,000","35,585,975"
2019-10-28,15.76%,"506,500","22,775,000"
2019-10-25,31.73%,"686,500","30,523,550"
2019-10-24,33.76%,"1,146,500","51,196,325"
2019-10-23,23.87%,"1,007,000","44,529,600"
2019-10-22,12.65%,"224,500","9,901,425"
2019-10-21,24.67%,"481,000","21,183,375"
2019-10-18,21.43%,"944,000","41,715,900"
2019-10-17,25.83%,"1,855,500","83,502,300"
2019-10-16,17.21%,"2,053,000","92,277,825"
