Date,Short_Ratio,Short_Count,Short_Amount
2019-10-15,13.50%,"382,500","16,663,975"
2019-10-14,24.09%,"1,029,500","45,038,925"
2019-10-11,22.00%,"1,701,000","74,303,850"
2019-10-10,13.62%,"584,000","25,136,225"
2019-10-09,17.59%,"761,000","33,099,525"
2019-10-08,23.95%,"2,221,000","96,355,225"
2019-10-04,26.04%,"1,714,500","74,862,300"
2019-10-03,10.72%,"1,030,500","44,845,175"
2019-10-02,14.29%,"1,001,500","43,540,400"
2019-09-30,17.67%,"441,500","19,441,325"
2019-09-27,30.96%,"946,000","41,770,475"
2019-09-26,16.18%,"631,500","28,000,575"
2019-09-25,9.73%,"347,000","15,564,325"
2019-09-24,12.09%,"476,000","21,653,500"
2019-09-23,9.91%,"330,000","14,992,325"
2019-09-20,16.17%,"746,500","34,485,225"
2019-09-19,20.51%,"883,000","40,531,975"
2019-09-18,15.48%,"371,000","17,209,600"
2019-09-17,22.60%,"1,021,500","47,152,100"
2019-09-16,18.99%,"766,000","35,633,075"
2019-09-13,17.16%,"626,000","29,494,450"
2019-09-12,19.19%,"885,500","41,728,950"
2019-09-11,20.26%,"2,260,000","106,549,225"
2019-09-10,10.08%,"589,000","27,065,700"
2019-09-09,23.88%,"1,872,000","86,136,600"
2019-09-06,38.00%,"2,077,000","97,093,675"
2019-09-05,23.44%,"2,371,500","110,531,300"
2019-09-04,12.87%,"2,545,000","118,190,150"
2019-09-03,29.65%,"1,650,500","73,350,800"
2019-09-02,40.37%,"4,684,500","206,038,725"
2019-08-30,37.86%,"2,798,000","127,107,150"
2019-08-29,23.70%,"1,126,500","52,208,200"
2019-08-28,25.72%,"1,025,500","48,191,225"
2019-08-27,22.30%,"965,500","44,900,925"
2019-08-26,28.50%,"2,012,500","92,248,075"
2019-08-23,26.42%,"1,061,500","50,109,175"
2019-08-22,44.11%,"1,487,500","70,998,900"
2019-08-21,19.83%,"615,000","29,842,650"
2019-08-20,32.56%,"1,333,500","65,404,700"
2019-08-19,22.90%,"1,655,000","81,256,100"
2019-08-16,23.63%,"2,569,000","124,265,150"
2019-08-15,21.80%,"2,379,000","110,856,700"
2019-08-14,36.64%,"3,032,500","138,172,075"
2019-08-13,29.60%,"3,408,000","157,961,700"
2019-08-12,25.04%,"1,551,000","74,671,375"
2019-08-09,21.90%,"1,279,500","62,982,875"
2019-08-08,21.71%,"1,269,500","62,150,850"
2019-08-07,33.33%,"1,954,500","95,101,750"
2019-08-06,30.76%,"3,181,000","153,497,700"
2019-08-05,18.44%,"2,143,000","104,055,000"
2019-08-02,31.23%,"3,570,000","178,309,250"
2019-08-01,41.36%,"2,612,500","133,607,950"
2019-07-31,26.38%,"1,310,000","67,751,500"
2019-07-30,17.00%,"817,500","42,590,325"
2019-07-29,29.43%,"3,143,500","163,612,325"
2019-07-26,23.35%,"618,000","33,232,325"
2019-07-25,20.83%,"697,000","37,302,700"
2019-07-24,26.17%,"1,001,000","53,841,800"
2019-07-23,21.35%,"776,500","41,941,925"
2019-07-22,18.68%,"1,581,000","84,437,025"
2019-07-19,23.18%,"3,982,500","216,432,125"
2019-07-18,42.99%,"1,135,500","63,108,950"
2019-07-17,36.84%,"966,000","53,637,975"
2019-07-16,30.96%,"850,500","46,782,350"
2019-07-15,20.98%,"484,000","26,325,200"
2019-07-12,29.01%,"427,500","23,195,150"
2019-07-11,30.92%,"930,000","50,456,425"
2019-07-10,25.46%,"776,500","41,750,150"
2019-07-09,20.70%,"710,000","37,794,475"
2019-07-08,32.51%,"1,402,000","74,440,325"
2019-07-05,15.44%,"705,500","37,922,225"
2019-07-04,32.48%,"728,000","39,139,400"
2019-07-03,32.25%,"1,010,500","53,666,875"
2019-07-02,33.07%,"1,581,500","83,256,475"
2019-06-28,19.02%,"510,500","26,801,475"
2019-06-27,18.57%,"627,000","32,975,025"
2019-06-26,25.95%,"1,149,000","60,393,450"
2019-06-25,32.80%,"2,415,000","125,899,575"
2019-06-24,22.62%,"894,500","46,263,600"
2019-06-21,28.68%,"1,566,500","80,286,075"
2019-06-20,20.11%,"828,000","42,028,875"
2019-06-19,21.72%,"1,705,500","86,447,625"
2019-06-18,27.33%,"819,500","40,860,100"
2019-06-17,8.89%,"748,500","37,265,100"
2019-06-14,17.33%,"1,845,000","90,630,325"
2019-06-13,41.62%,"1,747,000","84,246,625"
2019-06-12,38.98%,"2,218,500","107,921,500"
2019-06-11,25.03%,"1,413,500","68,973,550"
2019-06-10,39.62%,"1,715,000","82,937,825"
2019-06-06,24.56%,"741,000","35,701,325"
2019-06-05,31.01%,"918,500","43,966,325"
2019-06-04,44.37%,"1,342,000","64,004,000"
2019-06-03,34.38%,"1,283,000","61,265,875"
2019-05-31,39.46%,"1,848,000","88,363,775"
2019-05-30,36.69%,"1,161,000","55,109,500"
2019-05-29,23.66%,"1,127,500","53,853,850"
2019-05-28,35.50%,"2,245,500","106,673,650"
2019-05-27,36.30%,"519,000","24,750,825"
2019-05-24,21.62%,"590,000","28,039,075"
2019-05-23,22.64%,"955,500","46,342,600"
2019-05-22,29.28%,"805,000","39,091,650"
2019-05-21,20.64%,"695,000","33,915,375"
2019-05-20,24.42%,"1,109,000","54,010,175"
2019-05-17,26.40%,"1,163,500","55,903,875"
2019-05-16,23.45%,"993,500","47,007,000"
2019-05-15,33.98%,"778,000","36,091,450"
2019-05-14,29.73%,"1,492,000","69,136,450"
2019-05-10,22.75%,"650,500","30,175,700"
2019-05-09,20.08%,"597,000","27,653,175"
2019-05-08,35.74%,"1,349,500","63,381,750"
2019-05-07,30.33%,"906,500","42,795,550"
2019-05-06,13.92%,"434,500","20,323,725"
2019-05-03,10.75%,"218,000","10,336,575"
2019-05-02,13.35%,"329,500","15,604,800"
2019-04-30,15.16%,"267,500","12,512,575"
2019-04-29,15.00%,"167,000","7,848,575"
2019-04-26,18.20%,"318,500","14,889,200"
2019-04-25,21.48%,"648,000","30,168,100"
2019-04-24,27.48%,"1,493,000","70,052,650"
2019-04-23,6.91%,"151,000","7,179,675"
2019-04-18,14.39%,"700,000","33,168,400"
2019-04-17,13.84%,"351,000","16,836,675"
2019-04-16,7.66%,"133,500","6,481,400"
2019-04-15,13.43%,"254,500","12,352,625"
2019-04-12,22.24%,"428,500","20,769,425"
2019-04-11,10.29%,"311,000","14,999,100"
2019-04-10,8.93%,"101,500","4,937,650"
2019-04-09,18.75%,"565,000","27,576,750"
2019-04-08,8.02%,"289,500","13,992,575"
2019-04-04,8.33%,"250,000","12,175,650"
2019-04-03,9.62%,"418,500","20,464,275"
2019-04-02,14.11%,"423,000","20,671,750"
2019-04-01,8.77%,"340,000","16,613,825"
2019-03-29,7.90%,"398,500","19,304,525"
2019-03-28,13.62%,"460,500","22,007,300"
2019-03-27,6.48%,"142,500","6,768,050"
2019-03-26,14.31%,"496,000","23,514,825"
2019-03-25,7.22%,"168,500","7,900,475"
2019-03-22,7.25%,"133,000","6,303,800"
2019-03-21,9.77%,"259,500","12,255,650"
2019-03-20,6.29%,"265,000","12,606,625"
2019-03-19,13.49%,"536,000","25,600,500"
2019-03-18,9.25%,"489,500","23,227,600"
2019-03-15,6.29%,"321,000","15,323,500"
2019-03-14,15.63%,"824,500","39,075,625"
2019-03-13,11.20%,"478,500","22,466,050"
2019-03-12,7.54%,"395,500","18,551,450"
2019-03-11,10.20%,"922,000","43,091,525"
2019-03-08,10.96%,"1,127,000","51,426,875"
2019-03-07,15.11%,"392,000","17,634,350"
2019-03-06,21.30%,"401,000","17,920,725"
2019-03-05,17.58%,"315,000","14,095,575"
2019-03-04,27.67%,"715,000","32,169,600"
2019-03-01,21.03%,"583,500","26,435,225"
2019-02-28,18.23%,"857,000","38,751,550"
2019-02-27,15.09%,"397,500","17,861,300"
2019-02-26,15.63%,"447,000","19,981,950"
2019-02-25,9.84%,"254,500","11,394,900"
2019-02-22,4.33%,"120,000","5,389,150"
2019-02-21,5.40%,"181,500","8,150,050"
2019-02-20,9.94%,"324,500","14,449,975"
2019-02-19,11.41%,"245,500","10,798,500"
2019-02-18,9.02%,"199,000","8,749,125"
2019-02-15,36.09%,"765,500","33,486,750"
2019-02-14,9.90%,"333,000","14,570,075"
2019-02-13,14.39%,"431,000","18,914,700"
2019-02-12,8.22%,"251,500","11,019,725"
2019-02-11,13.27%,"269,000","11,769,175"
2019-02-08,12.13%,"326,000","14,156,200"
2019-02-04,10.58%,"117,000","5,076,225"
2019-02-01,26.19%,"417,000","18,102,275"
2019-01-31,15.98%,"496,000","21,704,675"
2019-01-30,15.58%,"575,000","25,092,450"
2019-01-29,16.47%,"556,500","24,156,775"
2019-01-28,14.16%,"326,000","13,995,400"
2019-01-25,16.39%,"322,000","13,793,225"
2019-01-24,20.61%,"320,500","13,623,275"
2019-01-23,20.39%,"391,000","16,596,750"
2019-01-22,29.79%,"265,500","11,227,725"
2019-01-21,13.48%,"157,500","6,667,925"
2019-01-18,23.98%,"410,500","17,342,750"
2019-01-17,22.98%,"344,000","14,495,850"
2019-01-16,44.86%,"1,166,000","49,097,025"
2019-01-15,20.18%,"792,000","33,339,875"
2019-01-14,44.11%,"764,000","31,846,450"
2019-01-11,20.59%,"606,000","25,413,050"
2019-01-10,42.44%,"937,000","39,102,650"
2019-01-09,21.03%,"782,500","32,708,125"
2019-01-08,24.03%,"749,000","31,152,675"
2019-01-07,18.76%,"564,000","23,353,425"
2019-01-04,14.04%,"590,500","24,250,950"
2019-01-03,46.02%,"789,000","32,113,350"
2019-01-02,52.45%,"1,500,000","60,842,950"
2018-12-31,8.86%,"109,000","4,481,175"
2018-12-28,33.44%,"466,500","19,100,775"
2018-12-27,29.17%,"642,000","26,280,250"
2018-12-24,36.99%,"520,500","21,281,675"
2018-12-21,18.27%,"571,500","23,275,725"
2018-12-20,29.06%,"524,500","21,395,825"
2018-12-19,19.10%,"338,500","13,905,950"
2018-12-18,30.64%,"803,500","33,043,800"
2018-12-17,11.22%,"292,000","12,006,850"
2018-12-14,27.87%,"1,266,500","51,870,850"
2018-12-13,14.96%,"430,000","17,612,550"
2018-12-12,39.10%,"1,512,000","61,412,575"
2018-12-11,39.48%,"911,500","36,346,225"
2018-12-10,25.04%,"1,620,500","64,390,125"
2018-12-07,65.16%,"5,495,500","224,314,750"
2018-12-06,43.59%,"1,399,500","56,138,250"
2018-12-05,37.16%,"736,500","29,994,750"
2018-12-04,20.75%,"650,500","26,573,725"
2018-12-03,26.52%,"1,105,500","45,072,975"
2018-11-30,22.37%,"1,714,000","69,430,125"
2018-11-29,27.49%,"728,500","29,340,425"
2018-11-28,27.24%,"796,500","32,327,475"
2018-11-27,30.80%,"716,500","28,945,250"
2018-11-26,12.50%,"605,000","24,431,100"
2018-11-23,41.39%,"333,000","13,232,375"
2018-11-22,25.12%,"551,500","21,962,700"
2018-11-21,21.10%,"502,000","19,688,300"
2018-11-20,31.89%,"437,500","17,266,075"
2018-11-19,23.17%,"328,000","13,008,400"
2018-11-16,38.34%,"624,500","24,742,450"
2018-11-15,13.80%,"456,500","18,000,200"
2018-11-14,29.99%,"580,000","22,564,350"
2018-11-13,24.58%,"851,000","32,966,925"
2018-11-12,31.54%,"658,500","25,535,950"
2018-11-09,32.51%,"742,500","28,428,425"
2018-11-08,21.90%,"466,000","18,094,500"
2018-11-07,20.69%,"414,000","15,950,625"
2018-11-06,39.24%,"610,000","23,410,975"
2018-11-05,31.58%,"607,500","23,200,575"
2018-11-02,15.63%,"561,500","21,647,175"
2018-11-01,13.27%,"526,500","20,079,325"
2018-10-31,18.12%,"521,500","19,726,975"
2018-10-30,24.03%,"774,500","29,263,400"
2018-10-29,19.54%,"572,000","21,750,975"
2018-10-26,33.20%,"842,000","32,006,350"
2018-10-25,31.26%,"918,500","35,029,875"
2018-10-24,18.00%,"512,500","19,752,750"
2018-10-23,19.19%,"667,500","25,681,950"
2018-10-22,14.43%,"625,500","24,212,075"
2018-10-19,31.67%,"855,500","33,252,025"
2018-10-18,31.94%,"1,420,000","54,737,050"
2018-10-16,40.32%,"1,473,000","56,996,350"
2018-10-15,44.46%,"1,055,000","41,098,000"
2018-10-12,27.36%,"1,300,500","51,224,500"
2018-10-11,27.57%,"1,602,500","62,857,625"
2018-10-10,20.99%,"654,000","26,160,525"
2018-10-09,33.97%,"1,079,500","43,360,825"
2018-10-08,25.69%,"765,500","30,887,475"
2018-10-05,30.05%,"611,500","24,631,175"
2018-10-04,29.56%,"999,500","40,283,325"
2018-10-03,35.38%,"573,500","23,359,700"
2018-10-02,48.96%,"1,538,000","62,715,775"
2018-09-28,37.61%,"1,144,500","47,139,950"
2018-09-27,35.62%,"1,133,000","46,643,000"
2018-09-26,23.41%,"788,000","32,416,375"
2018-09-24,36.13%,"1,115,500","45,658,550"
2018-09-21,18.91%,"1,360,000","56,040,950"
2018-09-20,24.73%,"650,000","26,848,625"
2018-09-19,13.37%,"453,000","18,871,025"
2018-09-18,39.53%,"1,848,500","77,112,800"
2018-09-17,33.81%,"1,610,500","66,884,100"
2018-09-14,17.86%,"1,107,500","46,183,550"
2018-09-13,23.27%,"1,323,500","54,489,725"
2018-09-12,40.87%,"3,284,500","133,124,525"
2018-09-11,27.26%,"1,255,000","49,810,975"
2018-09-10,35.57%,"1,157,500","45,889,225"
2018-09-07,24.81%,"964,000","38,318,575"
2018-09-06,46.34%,"1,970,000","78,058,250"
2018-09-05,30.76%,"828,500","32,984,050"
2018-09-04,18.73%,"245,500","9,891,500"
2018-09-03,16.13%,"214,500","8,612,550"
2018-08-31,17.65%,"749,000","30,255,825"
2018-08-30,16.75%,"405,000","16,503,225"
2018-08-29,12.00%,"262,500","10,720,550"
2018-08-28,16.08%,"407,500","16,586,900"
2018-08-27,28.53%,"1,149,000","46,615,500"
2018-08-24,28.81%,"777,500","30,957,300"
2018-08-23,19.32%,"473,500","18,709,575"
2018-08-22,5.45%,"120,500","4,781,100"
2018-08-21,33.29%,"1,414,500","56,684,225"
2018-08-20,30.85%,"1,205,000","48,361,100"
2018-08-17,20.64%,"641,000","25,471,500"
2018-08-16,24.86%,"1,077,000","42,780,600"
2018-08-15,15.88%,"665,000","26,470,325"
2018-08-14,17.87%,"1,278,500","50,897,525"
2018-08-13,10.12%,"1,114,000","43,719,850"
2018-08-10,12.49%,"1,870,000","75,244,025"
2018-08-09,16.73%,"2,276,500","93,095,275"
2018-08-08,35.69%,"5,605,500","233,933,325"
2018-08-07,14.26%,"115,500","4,937,300"
2018-08-06,16.71%,"241,000","10,257,125"
2018-08-03,12.87%,"315,000","13,395,450"
2018-08-02,16.35%,"420,500","18,049,325"
2018-08-01,21.30%,"627,000","27,317,850"
2018-07-31,22.19%,"1,028,000","44,791,850"
2018-07-30,16.74%,"497,000","21,334,250"
2018-07-27,16.17%,"359,500","15,348,850"
2018-07-26,14.36%,"314,500","13,436,050"
2018-07-25,40.16%,"864,000","36,790,550"
2018-07-24,32.33%,"644,000","27,272,100"
2018-07-23,35.60%,"657,000","27,718,600"
2018-07-20,21.88%,"523,000","21,903,525"
2018-07-19,16.52%,"355,500","14,925,800"
2018-07-18,22.29%,"374,000","15,811,150"
2018-07-17,21.71%,"343,500","14,534,900"
2018-07-16,30.80%,"627,000","26,575,075"
2018-07-13,11.60%,"166,000","7,081,075"
2018-07-12,9.70%,"173,500","7,398,300"
2018-07-11,8.54%,"232,500","9,938,675"
2018-07-10,16.36%,"292,000","12,636,425"
2018-07-09,7.69%,"128,000","5,509,025"
2018-07-06,27.86%,"707,500","30,254,600"
2018-07-05,27.05%,"443,000","18,877,225"
2018-07-04,19.71%,"335,000","14,298,425"
2018-07-03,14.64%,"576,000","24,530,475"
2018-06-29,18.89%,"646,500","27,950,400"
2018-06-28,7.51%,"281,000","12,127,300"
2018-06-27,11.04%,"258,500","11,156,375"
2018-06-26,8.40%,"231,500","9,986,575"
2018-06-25,14.27%,"425,500","18,410,575"
2018-06-22,10.22%,"637,500","27,506,300"
2018-06-21,13.95%,"529,000","22,316,225"
2018-06-20,12.59%,"500,500","21,176,925"
2018-06-19,24.37%,"1,762,000","74,665,850"
2018-06-15,11.31%,"567,500","24,731,100"
2018-06-14,34.60%,"1,270,000","55,412,450"
2018-06-13,5.72%,"121,500","5,368,500"
2018-06-12,6.36%,"135,000","6,001,775"
2018-06-11,8.31%,"144,000","6,378,800"
2018-06-08,13.55%,"260,500","11,587,100"
2018-06-07,12.21%,"359,000","16,074,575"
2018-06-06,12.66%,"291,000","12,974,400"
2018-06-05,4.61%,"118,000","5,233,950"
2018-06-04,34.18%,"1,106,000","48,735,900"
2018-06-01,6.56%,"905,500","39,901,050"
2018-05-31,9.23%,"728,000","32,206,225"
2018-05-30,13.56%,"622,000","27,420,600"
2018-05-29,18.63%,"533,000","23,540,225"
2018-05-28,19.15%,"524,500","23,292,575"
2018-05-25,21.86%,"685,500","30,328,900"
2018-05-24,21.65%,"649,000","28,446,400"
2018-05-23,23.72%,"2,352,500","103,692,175"
2018-05-21,10.53%,"453,000","20,676,800"
2018-05-18,11.71%,"464,500","20,910,875"
2018-05-17,20.26%,"861,500","39,704,125"
2018-05-16,20.31%,"972,500","44,855,300"
2018-05-15,4.97%,"402,000","18,606,975"
2018-05-14,17.02%,"640,500","29,300,700"
2018-05-11,11.50%,"551,500","25,099,350"
2018-05-10,16.63%,"806,000","36,668,100"
2018-05-09,18.75%,"720,500","32,386,650"
2018-05-08,15.99%,"526,500","23,465,725"
2018-05-07,41.09%,"1,312,500","57,829,200"
2018-05-04,11.89%,"484,000","21,397,300"
2018-05-03,12.06%,"662,500","29,151,100"
2018-05-02,8.69%,"692,500","30,478,450"
2018-04-30,3.98%,"181,500","8,035,175"
2018-04-27,10.52%,"302,500","13,276,975"
2018-04-26,9.39%,"289,000","12,616,775"
2018-04-25,6.17%,"127,000","5,531,175"
2018-04-24,11.55%,"218,500","9,490,250"
2018-04-23,12.36%,"379,500","16,414,575"
2018-04-20,12.05%,"289,500","12,602,750"
2018-04-19,7.18%,"168,000","7,306,950"
2018-04-18,12.18%,"434,000","18,827,375"
2018-04-17,17.19%,"369,000","15,914,600"
2018-04-16,21.67%,"515,500","22,230,200"
2018-04-13,24.06%,"319,500","13,783,500"
2018-04-12,15.48%,"397,000","17,090,975"
2018-04-11,24.03%,"765,000","32,731,300"
2018-04-10,23.48%,"806,000","34,519,350"
2018-04-09,11.57%,"451,000","19,413,700"
2018-04-06,24.53%,"619,500","26,243,825"
2018-04-04,14.54%,"388,500","16,415,975"
2018-04-03,33.62%,"1,116,000","47,244,850"
2018-03-29,19.14%,"855,000","36,169,900"
2018-03-28,24.19%,"852,000","36,726,150"
2018-03-27,20.41%,"482,000","20,826,900"
2018-03-26,8.03%,"195,000","8,341,775"
2018-03-23,21.16%,"1,579,000","66,828,650"
2018-03-22,21.60%,"849,000","36,364,100"
2018-03-21,11.21%,"291,000","12,564,775"
2018-03-20,30.96%,"970,000","41,679,300"
2018-03-19,22.54%,"710,500","30,666,775"
2018-03-16,14.01%,"661,500","28,865,050"
2018-03-15,21.19%,"684,000","29,999,400"
2018-03-14,10.50%,"458,000","20,047,075"
2018-03-13,8.87%,"698,500","30,582,450"
2018-03-12,13.23%,"1,133,000","48,898,275"
2018-03-09,9.16%,"1,222,500","52,266,400"
2018-03-08,8.39%,"345,500","14,168,625"
2018-03-07,6.66%,"236,000","9,638,700"
2018-03-06,6.63%,"246,000","10,086,950"
2018-03-05,23.33%,"1,027,500","42,018,425"
2018-03-02,20.89%,"770,500","31,694,250"
2018-03-01,27.81%,"1,010,000","41,823,250"
2018-02-28,17.09%,"869,000","36,093,250"
2018-02-27,30.55%,"1,572,500","66,022,075"
2018-02-26,49.68%,"2,086,500","87,445,700"
2018-02-23,38.64%,"1,064,500","44,582,250"
2018-02-22,23.29%,"1,396,000","58,233,700"
2018-02-21,19.97%,"860,500","35,680,750"
2018-02-20,10.70%,"785,500","32,350,100"
2018-02-15,13.04%,"356,500","14,580,550"
2018-02-14,22.56%,"2,056,000","83,698,800"
2018-02-13,23.69%,"1,573,000","64,195,275"
2018-02-12,25.34%,"1,583,500","64,765,850"
2018-02-09,6.78%,"1,193,000","48,638,925"
2018-02-08,26.89%,"1,860,500","77,670,050"
2018-02-07,17.56%,"1,766,500","74,494,950"
2018-02-06,26.88%,"2,552,500","108,927,725"
2018-02-05,32.76%,"2,381,500","103,870,650"
2018-02-02,37.03%,"2,065,000","91,422,925"
2018-02-01,24.08%,"833,000","37,210,000"
2018-01-31,16.07%,"757,500","33,890,250"
2018-01-30,38.73%,"1,333,500","59,859,250"
2018-01-29,21.00%,"879,500","39,548,450"
2018-01-26,16.92%,"619,500","27,927,425"
