Date,Currency,BB_Price,BB_Count,BB_Amount,FY_BB_Count,BB_Prop
2018-09-17,HKD,320.84,"118,000","37,858,825","710,700",0.01%
2018-09-14,HKD,329.12,"71,000","23,367,342","592,700",0.01%
2018-09-13,HKD,318.57,"124,000","39,503,176","521,700",0.01%
2018-09-12,HKD,308.79,"125,000","38,598,262","397,700",0.00%
2018-09-11,HKD,309.17,"126,000","38,955,974","272,700",0.00%
2018-09-10,HKD,315.39,"124,000","39,107,963","146,700",0.00%
2018-09-07,HKD,311.54,"22,700","7,072,081","22,700",0.00%
2014-04-07,HKD,501.55,"153,000","76,736,584","153,000",0.01%
2013-04-12,HKD,250.02,"620,400","155,111,539","6,669,000",0.36%
2013-04-11,HKD,250.58,"460,300","115,343,585","6,048,600",0.33%
2013-04-10,HKD,249.51,"625,000","155,945,062","5,588,300",0.30%
2013-04-09,HKD,247.19,"630,000","155,729,574","4,963,300",0.27%
2013-04-08,HKD,241.14,"640,000","154,330,688","4,333,300",0.24%
2013-04-05,HKD,239.31,"650,000","155,549,030","3,693,300",0.20%
2013-04-03,HKD,243.26,"640,000","155,684,480","3,043,300",0.16%
2013-04-02,HKD,243.16,"320,000","77,812,032","2,403,300",0.13%
2013-03-28,HKD,249.15,"300,000","74,745,480","2,083,300",0.11%
2013-03-27,HKD,251.66,"150,200","37,799,662","1,783,300",0.10%
2013-03-26,HKD,246.85,"315,000","77,757,152","1,633,100",0.09%
2013-03-25,HKD,240.56,"480,000","115,468,944","1,318,100",0.07%
2013-03-22,HKD,247.35,"471,100","116,525,030","838,100",0.04%
2013-03-21,HKD,253.6,"341,000","86,476,338","367,000",0.02%
2012-05-23,HKD,204.86,"26,000","5,326,269","26,000",0.00%
2012-01-09,HKD,152.51,"128,400","19,582,798","7,102,800",0.39%
2011-12-13,HKD,143.7,"104,300","14,987,931","6,974,400",0.38%
2011-11-29,HKD,143.29,"151,300","21,679,565","6,870,100",0.37%
2011-10-06,HKD,157.05,"171,800","26,980,967","6,718,800",0.37%
2011-10-04,HKD,143.51,"1,000,000","143,508,200","6,547,000",0.36%
2011-10-03,HKD,148.82,"250,000","37,205,775","5,547,000",0.30%
2011-09-30,HKD,163.67,"100,000","16,367,060","5,297,000",0.29%
2011-09-23,HKD,154.23,"279,100","43,045,398","5,197,000",0.28%
2011-09-22,HKD,157.41,"500,000","78,703,500","4,917,900",0.27%
2011-09-21,HKD,168.88,"1,000,000","168,883,800","4,417,900",0.24%
2011-08-23,HKD,172.4,"417,900","72,043,954","3,417,900",0.19%
2011-08-22,HKD,169.87,"800,000","135,899,040","3,000,000",0.16%
2011-08-19,HKD,173.64,"800,000","138,914,880","2,200,000",0.12%
2011-08-18,HKD,182.54,"600,000","109,522,920","1,400,000",0.08%
2011-08-17,HKD,180.16,"800,000","144,130,960","800,000",0.04%
2011-04-01,HKD,189.91,"211,300","40,128,554","3,235,300",0.18%
2011-03-31,HKD,188.38,"400,000","75,351,200","3,024,000",0.17%
2010-07-09,HKD,137.77,"454,000","62,548,397","2,624,000",0.14%
2010-07-08,HKD,137.52,"600,000","82,514,460","2,170,000",0.12%
2010-07-07,HKD,135.26,"570,000","77,097,858","1,570,000",0.09%
2010-07-06,HKD,132.6,"1,000,000","132,602,800","1,000,000",0.05%
