Date,Currency,BB_Price,BB_Count,BB_Amount,FY_BB_Count,BB_Prop
2019-10-11,HKD,325,"120,000","3,899,520","3,486,700",0.04%
2019-10-10,HKD,319.37,"120,000","38,324,520","3,366,700",0.04%
2019-10-09,HKD,320.34,"120,000","38,441,196","3,246,700",0.03%
2019-10-08,HKD,325.31,"120,000","39,036,804","3,126,700",0.03%
2019-10-04,HKD,323.68,"120,000","38,842,176","3,006,700",0.03%
2019-10-03,HKD,324.02,"120,000","38,882,844","2,886,700",0.03%
2019-10-02,HKD,324.96,"110,000","35,745,402","2,766,700",0.03%
2019-09-30,HKD,329.06,"110,000","36,196,578","2,656,700",0.03%
2019-09-27,HKD,329.99,"110,000","36,299,021","2,546,700",0.03%
2019-09-26,HKD,331.87,"110,000","36,505,480","2,436,700",0.03%
2019-09-25,HKD,329.36,"110,000","36,229,061","2,326,700",0.02%
2019-09-24,HKD,335.9,"110,000","36,948,857","2,216,700",0.02%
2019-09-23,HKD,336.14,"110,000","36,975,862","2,106,700",0.02%
2019-09-20,HKD,337.12,"110,000","37,083,761","1,996,700",0.02%
2019-09-19,HKD,339.32,"110,000","37,324,639","1,886,700",0.02%
2019-09-18,HKD,342.99,"110,000","37,728,405","1,776,700",0.02%
2019-09-17,HKD,342.77,"110,000","37,704,777","1,666,700",0.02%
2019-09-16,HKD,342.21,"110,000","37,643,199","1,556,700",0.02%
2019-09-13,HKD,349.28,"110,000","38,420,217","1,446,700",0.02%
2019-09-12,HKD,349.49,"110,000","38,443,977","1,336,700",0.01%
2019-09-11,HKD,343.07,"110,000","37,737,898","1,226,700",0.01%
2019-09-10,HKD,340.57,"110,000","37,462,722","1,116,700",0.01%
2019-09-09,HKD,342.04,"110,000","37,624,180","1,006,700",0.01%
2019-09-06,HKD,341.58,"110,100","37,607,385","896,700",0.01%
2019-09-05,HKD,342.21,"110,000","37,642,682","786,600",0.01%
2019-09-04,HKD,337.0,"94,400","31,812,441","676,000",0.01%
2019-09-03,HKD,331.13,"110,000","36,423,981","582,200",0.01%
2019-09-02,HKD,329.91,"110,000","36,289,605","472,200",0.00%
2019-08-30,HKD,325.07,"120,000","39,008,364","362,200",0.00%
2019-08-29,HKD,317.52,"120,000","38,102,376","242,200",0.00%
2019-08-28,HKD,320.95,"122,200","39,220,176","122,200",0.00%
2018-10-12,HKD,281.39,"146,000","41,082,955","2,848,000",0.03%
2018-10-11,HKD,268.8,"144,000","38,707,718","2,702,000",0.03%
2018-10-10,HKD,291.06,"134,000","39,001,544","2,558,000",0.03%
2018-10-09,HKD,296.87,"131,000","38,889,695","2,424,000",0.03%
2018-10-08,HKD,301.78,"128,000","38,627,482","2,293,000",0.02%
2018-10-05,HKD,304.98,"128,000","39,036,774","2,165,000",0.02%
2018-10-04,HKD,309.25,"124,000","38,347,186","2,037,000",0.02%
2018-10-03,HKD,315.91,"124,000","39,172,815","1,913,000",0.02%
2018-10-02,HKD,317.92,"120,500","38,308,782","1,789,000",0.02%
2018-09-28,HKD,323.07,"121,000","39,091,978","1,668,500",0.02%
2018-09-27,HKD,324.91,"118,000","38,339,604","1,547,500",0.02%
2018-09-26,HKD,330.02,"116,500","38,447,703","1,429,500",0.02%
2018-09-24,HKD,328.64,"117,000","38,450,599","1,313,000",0.01%
2018-09-21,HKD,330.11,"118,300","39,052,403","1,196,000",0.01%
2018-09-20,HKD,323.94,"122,000","39,521,217","1,077,700",0.01%
2018-09-19,HKD,323.0,"120,000","38,759,376","955,700",0.01%
2018-09-18,HKD,316.01,"125,000","39,501,338","835,700",0.01%
