Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_above_SMA_10,SMA_20,Close_above_SMA_20,SMA_50,Close_above_SMA_50,SMA_100,Close_above_SMA_100,SMA_150,Close_above_SMA_150,SMA_200,Close_above_SMA_200,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Short_Ratio,Short_Count,Short_Amount,Target_Price_Uplift,Overall_sc,Avg_BB_Price,Close_over_Avg_BB,BB_Value,Close_over_BB,BB_Conf,Is_Weekday_0,Is_Weekday_1,Is_Weekday_2,Is_Weekday_3,Is_Weekday_4,Month_end,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2017-01-03,186.652,189.73,186.652,188.042,9637272,0.0,0.0,182.82979999999992,1.0285084816588985,184.86009999999993,1.0172124758127907,193.74485999999976,0.9705651029916367,200.03840000000008,0.9400295143332477,192.36944000000008,0.9775045350238578,183.71877999999973,1.0235317260434686,22150.4,,,,,,,,,0.0,,195.68840426337843,-0.03907438609948022,501.55,-0.6250782574020537,1.442066444650041e-78,0,1,0,0,0,0,10.0,,,Train / Val
2017-01-04,189.035,189.134,186.751,187.645,11411490,0.0,0.0,183.33619999999993,1.023502177965945,184.76079999999996,1.0156104541656026,193.24447999999975,0.9710238553773968,200.0483300000001,0.9379983327029019,192.49586000000008,0.974800185313076,183.9081749999997,1.0203189716824732,22134.47,0.0,0.0,,,,,,,0.0,0.0,195.68840426337843,-0.04110312153474738,501.55,-0.6258698036088126,1.1092818805000314e-78,0,0,1,0,0,0,10.3,,,Train / Val
2017-01-05,189.631,192.808,189.333,191.914,20543005,0.0,0.0,184.43819999999994,1.0405328180387796,184.92459999999997,1.0377959449418845,192.80563999999976,0.9953754464859027,200.09400000000008,0.9591192139694339,192.6282400000001,0.9962921324516067,184.12089499999965,1.042326021715245,22456.69,,,,,,,,,0.0,,195.68840426337843,-0.019287827899595156,501.55,-0.6173581896122022,8.532937542307934e-79,0,0,0,1,0,0,7.8,,,Train / Val
2017-01-06,194.793,195.389,193.304,193.701,20077760,0.0,0.0,185.76859999999994,1.0427004348420565,185.18274999999997,1.045999154888887,192.41445999999974,1.0066862958220513,200.1664700000001,0.9676995352917994,192.79172666666676,1.0047163503800418,184.33561999999966,1.0508061328570155,22503.01,,,,,,,,,0.0,,195.68840426337843,-0.01015596335848079,501.55,-0.6137952347722062,6.563798109467641e-79,0,0,0,0,1,0,6.8,,,Train / Val
2017-01-09,195.29,195.488,193.8,194.198,13605277,0.0,0.0,187.09899999999996,1.0379424796498113,185.45084999999995,1.0471669447726988,192.08483999999976,1.0110011805200256,200.2111500000001,0.9699659584393773,192.95984666666675,1.0064166372160948,184.52511499999963,1.0524204252629805,22558.69,0.0772,0.0772,,,,,,,0.0,0.0772,195.68840426337843,-0.007616211440778509,501.55,-0.6128043066493869,5.049075468821262e-79,1,0,0,0,0,0,6.5,,,Train / Val
2017-01-10,196.084,196.58,194.694,196.58,15628780,0.0,0.0,188.73709999999997,1.0415546281043846,185.80329999999995,1.058000584489081,191.83463999999975,1.0247367211677738,200.2369600000001,0.9817368381941072,193.1398800000001,1.0178115467401136,184.72552999999962,1.0641734252975235,22744.85,,,,,,,,,0.0,,195.68840426337843,0.004556201170824448,501.55,-0.6080550294088326,3.883904206785587e-79,0,1,0,0,0,0,5.3,,,Train / Val
2017-01-11,198.566,199.956,197.275,199.36,20703850,0.0,0.0,190.83189999999996,1.0446890692803459,186.42874999999995,1.0693629603803065,191.69165999999976,1.0400035139765615,200.3144000000001,0.9952354898100183,193.31858666666676,1.031251073357733,184.93291499999964,1.0780125322742056,22935.35,,,,,,,,,0.0,,195.68840426337843,0.01876245938251886,501.55,-0.6025122121423587,2.987618620604297e-79,0,0,1,0,0,0,3.8,,,Train / Val
2017-01-12,199.559,199.559,195.19,197.375,16362476,0.0,0.0,192.34099999999995,1.0261722669633622,187.10884999999993,1.054867260420873,191.55267999999975,1.03039539827895,200.2727000000001,0.9855312281703892,193.46552666666676,1.0202075966746733,185.12938499999964,1.0661462522548777,22829.02,,,,,,,,,0.0,,195.68840426337843,0.008618782206183173,501.55,-0.606469943176154,2.2981681696956133e-79,0,0,0,1,0,0,4.8,,,Train / Val
2017-01-13,197.573,198.765,197.275,198.268,10155934,0.0,0.0,193.54229999999993,1.024416884577687,187.77404999999993,1.0558860502822411,191.40375999999975,1.0358626183728066,200.25185000000013,0.9900932251062843,193.62305333333344,1.0239896364957637,185.3347749999996,1.0697830453027524,22937.38,,,,,,,,,0.0,,195.68840426337843,0.013182159394328208,501.55,-0.6046894626657362,1.7678216689966255e-79,0,0,0,0,1,0,4.4,,,Train / Val
2017-01-16,198.268,198.268,194.595,195.29,11600274,0.0,0.0,194.23729999999995,1.0054196593548204,188.26549999999992,1.0373116688931328,191.25087999999977,1.0211194845221117,200.17143000000016,0.9756137526718964,193.7660200000001,1.0078650529127857,185.5326999999996,1.0525907292892327,22718.15,0.0,0.0,,,,,,,0.0,0.0,195.68840426337843,-0.0020359114525877464,501.55,-0.6106270561260094,1.3598628223050965e-79,1,0,0,0,0,0,5.9,,,Train / Val
2017-01-17,198.467,198.467,196.084,196.283,8845604,0.0,0.0,195.06139999999996,1.0062626434548303,188.94559999999993,1.0388333996663592,191.16549999999978,1.026769997724486,200.11286000000015,0.9808614998556306,193.95267333333345,1.012014924190612,185.73113499999963,1.0568125801847945,22840.97,,,,,,,,,0.0,,195.68840426337843,0.0030384822179923,501.55,-0.6086471936995315,1.0460483248500742e-79,0,1,0,0,0,0,7.7,,,Train / Val
