Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Date,Short_Ratio,Short_Count,Short_Amount,Target_Price_Uplift,BB_Value,Close_over_BB,BB_Conf,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2018-01-02 00:00:00,406.013,415.964,405.615,415.765,24080505,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,0,30515.31,,,,,,,,,,0.0,,0.0,0.0,14.1,,,Train / Val
2018-01-03 00:00:00,421.935,424.721,416.959,420.144,22780154,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,1,411.4489133333333,0,30560.95,,,,,,,,,,0.0,,0.0,0.0,12.9,,,Train / Val
2018-01-04 00:00:00,424.92,430.294,422.134,429.697,27904538,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30736.48,,,,,,,,,,0.0,,0.0,0.0,10.4,,,Train / Val
2018-01-05 00:00:00,434.275,434.275,426.114,431.09,19958447,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30814.64,,,,,,,,,,0.0,,0.0,0.0,10.0,,,Train / Val
2018-01-08 00:00:00,434.076,437.061,431.687,436.464,17994826,0.0,0.0,431.14979999999997,0,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,30899.53,-0.0772,-0.0772,,,,,,,,0.0,,0.0,0.0,8.7,,,Train / Val
2018-01-09 00:00:00,438.852,444.226,436.862,441.638,24476517,0.0,0.0,431.14979999999997,0,444.34525,1,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31011.41,,,,,,,,,,0.0,,0.0,0.0,7.4,,,Train / Val
2018-01-10 00:00:00,443.629,444.027,437.857,438.255,18007353,0.0,0.0,431.14979999999997,0,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,31073.72,,,158.0,,,,,,,-0.6394792985818758,,0.0,0.0,8.2,,,Train / Val
2018-01-11 00:00:00,433.876,435.867,427.309,427.309,27635787,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,31120.39,-0.3182,-0.3182,,,,,,,,-0.6394792985818758,,0.0,0.0,11.0,,,Train / Val
2018-01-12 00:00:00,429.697,440.046,428.702,440.046,19198950,0.0,0.0,431.14979999999997,0,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,31412.54,,,,,,,,,,-0.6394792985818758,,0.0,0.0,7.8,,,Train / Val
2018-01-15 00:00:00,443.231,446.614,431.09,431.09,23394615,0.0,0.0,431.14979999999997,1,444.34525,1,441.16484000000014,1,424.5377199999999,0,411.4489133333333,0,31338.87,,,,,,,,,,-0.6394792985818758,,0.0,0.0,10.0,,,Train / Val
2018-01-16 00:00:00,433.876,442.634,432.881,442.037,20592159,0.0,0.0,433.77699999999993,0,444.34525,1,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31904.75,,,,,,,,,,-0.6394792985818758,,0.0,0.0,7.3,,,Train / Val
2018-01-17 00:00:00,440.842,446.813,437.061,446.813,24879570,0.0,0.0,436.4438999999999,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,31983.41,,,,,,,,,,-0.6394792985818758,,0.0,0.0,6.1,,,Train / Val
2018-01-18 00:00:00,450.396,451.789,442.634,445.619,21795983,0.0,0.0,438.0360999999999,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32121.94,,,,,,,,,,-0.6394792985818758,,0.0,0.0,6.4,,,Train / Val
2018-01-19 00:00:00,449.998,450.794,445.818,450.197,14749167,0.0,0.0,439.9467999999999,0,444.34525,0,441.16484000000014,0,424.5377199999999,0,411.4489133333333,0,32254.89,0.8934,0.8934,,,,,,,,-0.6394792985818758,,0.0,0.0,5.3,,,Train / Val
