Date,Org,Suggest,Target_Price,Movement,Potential
2020-03-20,匯豐銀行,買入,458,上升,31.61%
2020-03-19,野村國際,買入,440,-,26.44%
2020-03-11,高盛,買入,490,上升,23.80%
2020-02-22,招銀國際,-,414,-,-0.58%
2020-02-18,高盛,買入,485,上升,16.47%
2020-02-14,花旗集團,買入,433,-,3.99%
2020-02-06,興業證券,買入,443,上升,11.08%
2020-02-04,野村國際,買入,440,上升,10.33%
2020-01-31,匯豐銀行,買入,483,-,21.11%
2020-01-23,瑞士銀行,-,460,-,15.35%
2020-01-21,富瑞證券,-,480,-,20.36%
2020-01-21,高盛,買入,480,上升,20.36%
2020-01-20,交銀國際,買入,465,上升,16.60%
2020-01-16,中信證券,買入,408,-,2.31%
2020-01-11,麥格理,跑贏大市,410,上升,2.81%
2020-01-08,美林,買入,433,上升,8.58%
2020-01-07,大和,買入,450,上升,12.84%
2020-01-06,瑞士信貸,跑贏大市,460,上升,15.35%
2019-12-04,法國巴黎銀行,買入,460,上升,15.35%
2019-11-16,中泰國際,買入,395.1,上升,-0.93%
2019-11-15,國信證券,-,-,-,-
2019-11-14,摩根士丹利,增持,430,上升,7.82%
2019-11-14,里昂證券,買入,460,上升,15.35%
2019-11-14,摩根大通,增持,415,上升,4.06%
2019-10-26,花旗集團,買入,433,上升,8.58%
2019-10-02,華泰金融,買入,438,-,9.83%
2019-08-20,第一上海,買入,427,上升,7.07%
2019-08-08,中金證券,中性,370,持平,-7.22%
2019-06-12,國泰君安證券,買入,410,上升,2.81%
2019-05-16,德意志銀行,買入,405,上升,1.55%
2019-04-04,星展銀行,買入,466,上升,16.85%
2019-03-26,東興證券,-,-,-,-
2019-03-07,國金證券,中性,365,持平,-8.48%
2019-03-06,廣發證券,買入,395,上升,-0.95%
2019-02-15,安信國際,買入,400,上升,0.30%
2019-01-24,巴克萊,增持,392.3,上升,-1.63%
2018-12-25,中信建投證券,買入,526,-,31.90%
2018-12-08,申萬宏源,增持,354,上升,-11.23%
2018-11-17,招銀國際,買入,414,上升,3.81%
2018-11-17,銀河證券,買入,341.9,上升,-14.27%
2018-11-16,光大證券,買入,381,上升,-4.46%
2018-11-15,國盛證券,-,320,-,-19.76%
2018-11-07,建銀國際,跑贏大市,360,上升,-9.73%
2018-10-03,英皇證券,-,-,-,-
2018-08-20,方正證券,-,-,-,-
2018-08-20,東方證券,增持,-,-,-
2018-06-08,東吳證券,首次覆蓋,558,上升,39.92%
2018-05-19,大華繼顯,買入,520,上升,30.39%
2018-05-18,華創證券,-,-,-,-
2018-05-18,平安證券,-,-,-,-
2018-04-12,國海證券,-,-,-,-
2018-03-23,天風證券,-,-,-,-
2018-01-10,海通國際,-,158,-,-60.38%
2017-12-16,星展證券,買入,512,上升,28.39%
2016-08-03,中銀國際,-,302,-,-24.27%
2016-05-04,金利豐金融,買入,167.2,上升,-58.07%
2014-08-18,輝立證券,買入,136,上升,-65.90%
2014-08-14,國浩資本,-,137,-,-65.65%
2014-02-15,傑富瑞,-,660,-,65.50%
2014-01-17,渣打證券,未有意見,605,持平,51.71%
2013-07-25,勝利證券,-,340,-,-14.74%
2013-06-11,群益證券,買入,325,上升,-18.51%
2013-06-03,申銀萬國,增持,-,-,-
2013-06-03,京華山一,-,301,-,-24.52%
