Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,SMA_200,Close_below_SMA_200,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Short_Ratio,Short_Count,Short_Amount,Target_Price_Uplift,Avg_BB_Price,Close_over_Avg_BB,BB_Value,Close_over_BB,BB_Conf,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2017-01-03,186.652,189.73,186.652,188.042,9637272,0.0,0.0,182.82979999999992,0,184.86009999999993,0,193.74485999999976,1,200.03840000000008,1,192.36944000000008,1,183.71877999999973,0,22150.4,,,,,,,,,0.0,195.68840426337843,-0.03907438609948022,501.55,-0.6250782574020537,1.442066444650041e-78,10.0,,,Train / Val
2017-01-04,189.035,189.134,186.751,187.645,11411490,0.0,0.0,183.33619999999993,0,184.76079999999996,0,193.24447999999975,1,200.0483300000001,1,192.49586000000008,1,183.9081749999997,0,22134.47,0.0,0.0,,,,,,,0.0,195.68840426337843,-0.04110312153474738,501.55,-0.6258698036088126,1.1092818805000314e-78,10.3,,,Train / Val
2017-01-05,189.631,192.808,189.333,191.914,20543005,0.0,0.0,184.43819999999994,0,184.92459999999997,0,192.80563999999976,1,200.09400000000008,1,192.6282400000001,1,184.12089499999965,0,22456.69,,,,,,,,,0.0,195.68840426337843,-0.019287827899595156,501.55,-0.6173581896122022,8.532937542307934e-79,7.8,,,Train / Val
2017-01-06,194.793,195.389,193.304,193.701,20077760,0.0,0.0,185.76859999999994,0,185.18274999999997,0,192.41445999999974,0,200.1664700000001,1,192.79172666666676,0,184.33561999999966,0,22503.01,,,,,,,,,0.0,195.68840426337843,-0.01015596335848079,501.55,-0.6137952347722062,6.563798109467641e-79,6.8,,,Train / Val
2017-01-09,195.29,195.488,193.8,194.198,13605277,0.0,0.0,187.09899999999996,0,185.45084999999995,0,192.08483999999976,0,200.2111500000001,1,192.95984666666675,0,184.52511499999963,0,22558.69,0.0772,0.0772,,,,,,,0.0,195.68840426337843,-0.007616211440778509,501.55,-0.6128043066493869,5.049075468821262e-79,6.5,,,Train / Val
2017-01-10,196.084,196.58,194.694,196.58,15628780,0.0,0.0,188.73709999999997,0,185.80329999999995,0,191.83463999999975,0,200.2369600000001,1,193.1398800000001,0,184.72552999999962,0,22744.85,,,,,,,,,0.0,195.68840426337843,0.004556201170824448,501.55,-0.6080550294088326,3.883904206785587e-79,5.3,,,Train / Val
2017-01-11,198.566,199.956,197.275,199.36,20703850,0.0,0.0,190.83189999999996,0,186.42874999999995,0,191.69165999999976,0,200.3144000000001,1,193.31858666666676,0,184.93291499999964,0,22935.35,,,,,,,,,0.0,195.68840426337843,0.01876245938251886,501.55,-0.6025122121423587,2.987618620604297e-79,3.8,,,Train / Val
2017-01-12,199.559,199.559,195.19,197.375,16362476,0.0,0.0,192.34099999999995,0,187.10884999999993,0,191.55267999999975,0,200.2727000000001,1,193.46552666666676,0,185.12938499999964,0,22829.02,,,,,,,,,0.0,195.68840426337843,0.008618782206183173,501.55,-0.606469943176154,2.2981681696956133e-79,4.8,,,Train / Val
2017-01-13,197.573,198.765,197.275,198.268,10155934,0.0,0.0,193.54229999999993,0,187.77404999999993,0,191.40375999999975,0,200.25185000000013,1,193.62305333333344,0,185.3347749999996,0,22937.38,,,,,,,,,0.0,195.68840426337843,0.013182159394328208,501.55,-0.6046894626657362,1.7678216689966255e-79,4.4,,,Train / Val
2017-01-16,198.268,198.268,194.595,195.29,11600274,0.0,0.0,194.23729999999995,0,188.26549999999992,0,191.25087999999977,0,200.17143000000016,1,193.7660200000001,0,185.5326999999996,0,22718.15,0.0,0.0,,,,,,,0.0,195.68840426337843,-0.0020359114525877464,501.55,-0.6106270561260094,1.3598628223050965e-79,5.9,,,Train / Val
2017-01-17,198.467,198.467,196.084,196.283,8845604,0.0,0.0,195.06139999999996,0,188.94559999999993,0,191.16549999999978,0,200.11286000000015,1,193.95267333333345,0,185.73113499999963,0,22840.97,,,,,,,,,0.0,195.68840426337843,0.0030384822179923,501.55,-0.6086471936995315,1.0460483248500742e-79,7.7,,,Train / Val
2017-01-18,197.176,198.367,196.58,198.268,10962405,0.0,0.0,196.12369999999996,0,189.72994999999992,0,191.15953999999977,0,200.09995000000015,1,194.16050666666678,0,185.9385049999996,0,23098.26,,,,,,,,,0.0,195.68840426337843,0.013182159394328208,501.55,-0.6046894626657362,8.0465255757698e-80,7.7,,,Train / Val
2017-01-19,199.162,199.162,196.878,198.07,9664250,0.0,0.0,196.7393,0,190.58874999999995,0,191.06621999999973,0,200.09995000000015,1,194.33590666666677,0,186.14438999999962,0,23049.96,,,,,,,,,0.0,195.68840426337843,0.012170346759106776,501.55,-0.6050842388595354,6.189635058284461e-80,7.9,,,Train / Val
2017-01-20,197.573,197.97,196.283,196.283,7686725,0.0,0.0,196.9975,1,191.38304999999994,0,190.90935999999974,0,200.07315000000014,1,194.52719333333343,0,186.35074499999962,0,22885.91,,,,,,,,,0.0,195.68840426337843,0.0030384822179923,501.55,-0.6086471936995315,4.7612577371418935e-80,8.9,,,Train / Val
2017-01-23,194.992,197.871,194.992,196.382,7059398,0.0,0.0,197.21589999999998,1,192.15744999999993,0,190.8180199999997,0,200.03741000000016,1,194.7184800000001,0,186.54571499999963,0,22898.52,,,,,,,,,0.0,195.68840426337843,0.003544388535603016,501.55,-0.6084498056026318,3.66250595164761e-80,8.8,,,Train / Val
2017-01-24,197.474,197.474,195.488,196.382,8825373,0.0,0.0,197.19609999999997,1,192.96659999999991,0,190.6115199999997,0,199.9679100000002,1,194.89785333333347,0,186.7268249999996,0,22949.86,,,,,,,,,0.0,195.68840426337843,0.003544388535603016,501.55,-0.6084498056026318,2.8173122704981617e-80,9.4,,,Train / Val
2017-01-25,199.559,199.559,197.772,199.36,17017199,0.0,0.0,197.19609999999997,0,194.01399999999995,0,190.62739999999968,0,199.95798000000022,1,195.08252000000016,0,186.9317349999996,0,23049.12,,,,,,,,,0.0,195.68840426337843,0.01876245938251886,501.55,-0.6025122121423587,2.167163284998586e-80,7.8,,,Train / Val
2017-01-26,200.949,203.927,200.353,203.53,21037878,0.0,0.0,197.8116,0,195.07629999999995,0,190.87361999999973,0,199.9818100000002,0,195.2671866666668,0,187.1599699999996,0,23374.17,,,,,,,,,0.0,195.68840426337843,0.040071846700060476,501.55,-0.5941979862426479,1.6670486807681428e-80,5.6,,,Train / Val
2017-01-27,204.126,204.126,202.736,202.934,8717396,0.0,0.0,198.27820000000003,0,195.91024999999996,0,191.0959999999997,0,200.0076200000002,0,195.45450000000014,0,187.38274999999962,0,23360.78,,,,,,,,,0.0,195.68840426337843,0.03702618846474759,501.55,-0.5953863024623667,1.2823451390524174e-80,5.9,,,Train / Val
2017-02-01,200.552,205.317,199.36,205.119,19494245,0.0,0.0,199.26110000000003,0,196.74919999999992,0,191.28861999999972,0,199.9718800000002,0,195.67160000000013,0,187.59418499999958,0,23318.39,,,,,,,,,0.0,195.68840426337843,0.04819189860595352,501.55,-0.5910298075964511,9.86419337732629e-81,4.7,,,Train / Val
