Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,Target_Price,Target_Price_Uplift,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2017-01-03,186.652,189.73,186.652,188.042,9637272,0.0,0.0,194.2373,1,196.74920000000003,1,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22150.4,,,0.0,10.0,,,Train / Val
2017-01-04,189.035,189.134,186.751,187.645,11411490,0.0,0.0,194.2373,1,196.74920000000003,1,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22134.47,0.0,,0.0,10.3,,,Train / Val
2017-01-05,189.631,192.808,189.333,191.914,20543005,0.0,0.0,194.2373,1,196.74920000000003,1,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22456.69,,,0.0,7.8,,,Train / Val
2017-01-06,194.793,195.389,193.304,193.701,20077760,0.0,0.0,194.2373,1,196.74920000000003,1,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22503.01,,,0.0,6.8,,,Train / Val
2017-01-09,195.29,195.488,193.8,194.198,13605277,0.0,0.0,194.2373,1,196.74920000000003,1,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22558.69,0.0772,,0.0,6.5,,,Train / Val
2017-01-10,196.084,196.58,194.694,196.58,15628780,0.0,0.0,194.2373,0,196.74920000000003,1,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22744.85,,,0.0,5.3,,,Train / Val
2017-01-11,198.566,199.956,197.275,199.36,20703850,0.0,0.0,194.2373,0,196.74920000000003,0,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22935.35,,,0.0,3.8,,,Train / Val
2017-01-12,199.559,199.559,195.19,197.375,16362476,0.0,0.0,194.2373,0,196.74920000000003,0,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22829.02,,,0.0,4.8,,,Train / Val
2017-01-13,197.573,198.765,197.275,198.268,10155934,0.0,0.0,194.2373,0,196.74920000000003,0,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22937.38,,,0.0,4.4,,,Train / Val
2017-01-16,198.268,198.268,194.595,195.29,11600274,0.0,0.0,194.2373,0,196.74920000000003,1,203.29190000000003,1,222.44659999999993,1,244.04906666666653,1,22718.15,0.0,,0.0,5.9,,,Train / Val
