Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,Close_below_SMA_10,SMA_20,Close_below_SMA_20,SMA_50,Close_below_SMA_50,SMA_100,Close_below_SMA_100,SMA_150,Close_below_SMA_150,^HSI_Close,title_sc,supp_sc,Target_Price,BB_Price,BB_Count,Target_Price_Uplift,BB_Value,Close_over_BB,BB_Conf,Actual_High_Next_20_P,Predicted_High_Next_20_P,MAE_P,Type
2016-01-04,149.865,150.459,147.192,147.588,16047213,0.0,0.0,139.6596,0,138.94195000000002,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,21327.12,0.296,0.296,,,,0.0,,0.0,0.0,0.9,,,Train / Val
2016-01-05,147.291,148.974,145.114,145.906,16171969,0.0,0.0,139.6596,0,138.94195000000002,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,21188.72,,,,,,0.0,,0.0,0.0,0.2,,,Train / Val
2016-01-06,144.223,145.411,143.629,144.52,15614519,0.0,0.0,139.6596,0,138.94195000000002,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,20980.81,,,,,,0.0,,0.0,0.0,1.2,,,Train / Val
2016-01-07,143.134,144.52,138.581,138.779,23664491,0.0,0.0,139.6596,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,20333.34,,,,,,0.0,,0.0,0.0,5.3,,,Train / Val
2016-01-08,139.373,142.243,139.373,141.154,18564802,0.0,0.0,139.6596,0,138.94195000000002,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,20453.71,,,,,,0.0,,0.0,0.0,3.6,,,Train / Val
2016-01-11,136.799,139.867,136.304,136.601,22362124,0.0,0.0,139.6596,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19888.5,,,,,,0.0,,0.0,0.0,7.0,,,Train / Val
2016-01-12,135.611,138.383,134.522,134.72,22078580,0.0,0.0,139.6596,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19711.76,,,,,,0.0,,0.0,0.0,8.5,,,Train / Val
2016-01-13,135.71,138.581,135.611,136.007,23863234,0.0,0.0,139.6596,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19934.88,,,,,,0.0,,0.0,0.0,7.5,,,Train / Val
2016-01-14,134.126,137.096,133.631,135.71,26513641,0.0,0.0,139.6596,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19817.41,,,,,,0.0,,0.0,0.0,7.7,,,Train / Val
2016-01-15,135.809,137.987,134.918,135.611,23969812,0.0,0.0,139.6596,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19520.77,,,,,,0.0,,0.0,0.0,7.8,,,Train / Val
2016-01-18,133.631,136.205,132.938,134.621,21919138,0.0,0.0,138.36290000000002,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19237.45,,,,,,0.0,,0.0,0.0,8.6,,,Train / Val
2016-01-19,134.621,138.581,134.621,138.383,22604872,0.0,0.0,137.61060000000003,0,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19635.81,,,,,,0.0,,0.0,0.0,5.7,,,Train / Val
2016-01-20,135.512,136.205,132.444,134.027,26441962,0.0,0.0,136.56130000000002,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,18886.3,,,,,,0.0,,0.0,0.0,9.1,,,Train / Val
2016-01-21,134.819,137.294,131.751,131.751,30536391,0.0,0.0,135.85850000000002,1,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,18542.15,,,,,,0.0,,0.0,0.0,11.0,,,Train / Val
2016-01-22,134.72,138.284,134.72,137.591,24549064,0.0,0.0,135.50220000000004,0,138.94195000000002,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19080.51,,,,,,0.0,,0.0,0.0,6.3,,,Train / Val
2016-01-25,138.581,143.233,137.987,142.837,31154604,0.0,0.0,136.12580000000003,0,138.94195000000002,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,19340.14,,,,,,0.0,,0.0,0.0,2.4,,,Train / Val
2016-01-26,140.659,142.045,139.175,140.362,25339129,0.0,0.0,136.69000000000003,0,138.94195000000002,0,140.91672,1,149.75779000000009,1,159.07076666666669,1,18860.8,,,,,,0.0,,0.0,0.0,4.2,,,Train / Val
2016-01-27,142.441,143.035,137.591,139.076,27399036,0.0,0.0,136.99690000000004,0,138.94195000000002,0,140.91672,1,149.75779000000009,1,159.07076666666669,1,19052.45,,,,,,0.0,,0.0,0.0,5.1,,,Train / Val
2016-01-28,139.076,141.946,137.987,140.164,24075438,0.0,0.0,137.44230000000002,0,138.94195000000002,0,140.91672,1,149.75779000000009,1,159.07076666666669,1,19195.83,,,,,,0.0,,0.0,0.0,4.3,,,Train / Val
2016-01-29,139.669,143.53,139.669,143.431,28333807,0.0,0.0,138.22430000000003,0,138.94195000000002,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,19683.11,,,,,,0.0,,0.0,0.0,2.5,,,Train / Val
2016-02-01,144.817,145.609,143.332,145.51,20461010,0.0,0.0,139.31320000000002,0,138.83805,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,19595.5,,,,,,0.0,,0.0,0.0,1.4,,,Train / Val
2016-02-02,146.203,146.203,142.54,144.124,17206088,0.0,0.0,139.88730000000004,0,138.74894999999998,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,19446.84,,,,,,0.0,,0.0,0.0,2.6,,,Train / Val
2016-02-03,140.758,140.758,138.581,140.164,22333481,0.0,0.0,140.50100000000003,1,138.53115,0,140.91672,1,149.75779000000009,1,159.07076666666669,1,18991.59,,,,,,0.0,,0.0,0.0,5.5,,,Train / Val
2016-02-04,141.55,141.649,140.065,140.461,16305725,0.0,0.0,141.372,1,138.61525,0,140.91672,1,149.75779000000009,1,159.07076666666669,1,19183.09,,,,,,0.0,,0.0,0.0,5.3,,,Train / Val
2016-02-05,141.253,143.035,140.659,142.441,12724486,0.0,0.0,141.85700000000003,0,138.6796,0,140.91672,0,149.75779000000009,1,159.07076666666669,1,19288.17,,,,,,0.0,,0.0,0.0,3.8,,,Train / Val
2016-02-11,135.809,137.294,132.74,134.522,36199192,0.0,0.0,141.02550000000002,1,138.57564999999997,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,18545.8,,,,,,0.0,,0.0,0.0,9.9,,,Train / Val
2016-02-12,131.355,133.532,130.761,131.949,24882572,0.0,0.0,140.1842,1,138.4371,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,18319.58,,,,,,0.0,,0.0,0.0,12.1,,,Train / Val
2016-02-15,135.314,137.195,133.928,136.799,21699418,0.0,0.0,139.9565,1,138.4767,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,18918.14,,,,,,0.0,,0.0,0.0,11.1,,,Train / Val
2016-02-16,136.799,138.977,136.799,137.888,15525620,0.0,0.0,139.7289,1,138.58559999999997,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,19122.08,,,,,,0.0,,0.0,0.0,10.2,,,Train / Val
2016-02-17,139.571,140.065,135.908,136.799,17255623,0.0,0.0,139.0657,1,138.64499999999998,1,140.91672,1,149.75779000000009,1,159.07076666666669,1,18924.57,,,,,,0.0,,0.0,0.0,11.1,,,Train / Val
2016-02-18,140.56,141.055,137.789,140.857,20441753,0.0,0.0,138.60039999999998,0,138.9568,0,140.91672,1,149.75779000000009,1,159.07076666666669,1,19363.08,,,,,,0.0,,0.0,0.0,7.9,,,Train / Val
2016-02-19,139.571,141.253,138.878,139.768,12409816,0.0,0.0,138.16479999999999,0,139.02605,0,140.91672,1,149.75779000000009,1,159.07076666666669,1,19285.5,,,,,,0.0,,0.0,0.0,12.7,,,Train / Val
