Date,Short_Ratio,Short_Count,Short_Amount
2020-03-09,14.27%,"2,234,700","164,289,150"
2020-03-06,10.40%,"963,300","70,847,625"
2020-03-05,9.66%,"726,900","54,094,430"
2020-03-04,7.76%,"881,300","64,983,365"
2020-03-03,6.02%,"603,200","43,283,135"
2020-03-02,8.38%,"879,100","62,954,040"
2020-02-28,3.51%,"386,300","27,923,795"
2020-02-27,10.06%,"666,100","49,031,740"
2020-02-26,3.41%,"278,500","20,632,460"
2020-02-25,9.45%,"478,400","35,756,270"
2020-02-24,10.61%,"838,300","63,105,870"
2020-02-21,16.51%,"1,697,000","129,880,465"
2020-02-20,8.25%,"522,100","40,668,190"
2020-02-19,3.40%,"206,700","16,132,200"
2020-02-18,5.84%,"338,500","26,474,125"
2020-02-17,0.20%,"25,500","2,020,415"
2020-02-14,1.40%,"130,400","10,288,190"
2020-02-13,4.09%,"321,100","25,272,245"
2020-02-12,3.51%,"253,600","20,052,535"
2020-02-11,12.70%,"710,800","56,376,690"
2020-02-10,22.41%,"1,177,800","93,596,310"
2020-02-07,18.02%,"918,900","73,884,000"
2020-02-06,20.79%,"1,615,100","128,675,730"
2020-02-05,20.72%,"1,248,000","97,122,700"
2020-02-04,13.62%,"968,400","75,725,840"
2020-02-03,13.79%,"1,328,700","103,509,810"
2020-01-31,7.23%,"509,900","40,458,315"
2020-01-30,9.67%,"642,100","50,945,425"
2020-01-29,8.87%,"585,200","46,818,380"
2020-01-24,5.50%,"301,200","24,504,705"
2020-01-23,9.66%,"821,200","67,203,630"
2020-01-22,13.04%,"965,100","79,880,830"
2020-01-21,17.22%,"1,289,800","108,168,260"
2020-01-20,20.35%,"1,100,700","94,904,970"
2020-01-17,12.14%,"1,406,600","120,641,175"
2020-01-16,12.84%,"1,087,500","92,036,345"
2020-01-15,11.16%,"767,000","63,874,650"
2020-01-14,16.08%,"1,015,100","84,460,900"
2020-01-13,7.54%,"509,100","42,026,440"
2020-01-10,5.38%,"211,900","17,296,035"
2020-01-09,15.80%,"819,100","66,455,375"
2020-01-08,7.33%,"309,100","24,895,150"
2020-01-07,9.22%,"544,800","44,143,085"
2020-01-06,8.05%,"379,600","30,747,665"
2020-01-03,11.96%,"481,300","39,368,655"
2020-01-02,9.34%,"522,200","42,885,555"
2019-12-31,1.05%,"46,000","3,770,775"
2019-12-30,12.11%,"605,500","49,694,925"
2019-12-27,5.49%,"278,000","22,636,875"
2019-12-24,9.62%,"204,500","16,536,125"
2019-12-23,7.39%,"485,000","39,419,850"
2019-12-20,5.01%,"730,500","59,244,925"
2019-12-19,2.76%,"131,000","10,309,600"
2019-12-18,3.17%,"188,000","14,856,750"
2019-12-17,3.62%,"270,000","21,354,300"
2019-12-16,6.00%,"272,000","21,668,325"
