Model,Live,Test,Train / Val,Remark
model_20200207-174442.h5,,2.2833333333333337,3.665119047619049,self stock price LSTM - 20N
model_20200207-175900.h5,,1.9533333333333336,3.1924999999999994,self stock price LSTM - 20N
model_20200207-180026.h5,,2.126666666666667,2.906039488966317,self stock price LSTM - 20N
model_20200207-180826.h5,,2.716666666666667,3.8763066202090575,self stock price LSTM - 20N
model_20200207-181031.h5,,2.1966666666666668,2.927758420441347,self stock price LSTM - 20N
model_20200207-181157.h5,,3.633333333333332,4.3013937282229975,self stock price LSTM - 20N
model_20200207-181336.h5,,7.710000000000003,7.347154471544715,self stock price LSTM - 20N
model_20200207-181439.h5,,3.863333333333333,3.6523809523809496,self stock price LSTM - 20N
model_20200207-181514.h5,,20.540000000000006,23.69663182346109,self stock price LSTM - 20N
model_20200207-181629.h5,3.6000000000000005,1.91,2.8272093023255813,self stock price LSTM - 20N
model_20200210-102918.h5,,3.816666666666667,4.587740384615384,self stock price LSTM - 20N
model_20200222-095846.h5,,1.2449999999999997,1.3344601962922582,self stock price LSTM - 20N
model_20200229-095156.h5,,1.305,1.4058568329718,self stock price LSTM - 20N
model_20200307-164431.h5,,1.35125,1.3277238403452,self stock price LSTM - 20N
model_20200307-165140.h5,,1.4175,1.2705501618122996,self stock price LSTM - 20N
model_20200307-165511.h5,,1.38625,1.3018338727076602,self stock price LSTM - 20N
model_20200307-170144.h5,,1.4625,1.2390507011866254,self stock price LSTM - 20N
model_20200307-170622.h5,,1.4049999999999998,1.3302049622437973,self stock price LSTM - 20N
model_20200310-172535.h5,,1.495,1.3216361679224975,self stock price LSTM - 20N
model_20200310-172813.h5,,1.5725,1.3282023681377835,self stock price LSTM - 20N
