Date,Org,Suggest,Target_Price,Movement,Potential
2020-03-05,摩根士丹利,減持,73,下降,1.11%
2020-03-04,高盛,-,97,-,34.35%
2020-03-04,大和,首選,97.6,-,35.18%
2020-02-21,摩根士丹利,減持,73,下降,-7.30%
2020-02-07,高盛,買入,97,上升,16.17%
2020-01-07,匯豐銀行,買入,99.6,-,19.28%
2020-01-04,星展銀行,買入,96.6,上升,15.69%
2019-12-21,瑞士銀行,中性,91.8,持平,9.94%
2019-12-21,花旗集團,買入,102.3,上升,22.51%
2019-12-20,大和,買入,97.6,上升,16.89%
2019-12-06,中金證券,首予,96,上升,14.97%
2019-12-04,交銀國際,買入,93.35,上升,11.80%
2019-11-28,摩根士丹利,大市同步,91,持平,8.98%
2019-11-15,麥格理,中性,73.31,持平,-12.20%
2019-11-14,摩根大通,增持,99.9,上升,19.64%
2019-11-14,美林,買入,91,上升,8.98%
2019-11-14,里昂證券,沽售,76.4,下降,-8.50%
2019-10-15,瑞士信貸,跑贏大市,99.2,上升,18.80%
2019-06-05,德意志銀行,持有,84.75,上升,1.50%
2019-01-04,野村國際,首選,89.5,-,7.19%
2018-09-25,東方證券,增持,79,上升,-5.39%
2018-02-06,招銀國際,-,-,-,-
2016-07-12,金利豐金融,-,-,-,-
2015-12-21,中泰國際,-,-,-,-
2014-08-20,巴克萊,持有,-,-,-
2013-10-22,法國巴黎銀行,買入,47,上升,-43.71%
2013-09-09,輝立證券,減持,31.6,下降,-62.16%
